"from_iso3","to_iso3","tc_spem"
"DEU","USA",219.581821299752
"DNK","ARG",322.633892557346
"DNK","AUS",350.821912378497
"DNK","BRA",322.633887562469
"DNK","CAN",219.581827981106
"DNK","CHN",350.821873777349
"DNK","COL",322.633873756283
"DNK","DEU",97.3420051823268
"DNK","DNK",13.2614779934624
"DNK","ETH",174.579367683233
"DNK","FIN",214.560150536668
"DNK","GBR",193.976151842155
"DNK","GRC",63.7968805626329
"DNK","IDN",350.821917899985
"DNK","IND",350.821882666461
"DNK","MEX",322.633891145304
"DNK","NOR",103.318401248267
"DNK","NPL",350.821917206062
"DNK","RUS",50.5215326263344
"DNK","RWA",174.58015917055
"DNK","R_ASP",350.821839134919
"DNK","R_CSA",322.633890830821
"DNK","R_NEU",31.092144153126
"DNK","R_NMC",101.957748758766
"DNK","R_OEU",24.8290818277871
"DNK","R_SSA",196.662018430665
"DNK","SWE",76.1868714062761
"DNK","TUR",55.4213841413407
"DNK","USA",219.581824922125
"ETH","ARG",341.938074944682
"ETH","AUS",340.564103477918
"ETH","BRA",341.938069949805
"ETH","CAN",401.899768027053
"ETH","CHN",340.564098263738
"ETH","COL",341.938054272195
"ETH","DEU",184.055344569334
"ETH","DNK",184.055354917726
"ETH","ETH",21.1394228482379
"ETH","FIN",184.055350581421
"ETH","GBR",184.055342573893
"ETH","GRC",184.055354381863
"ETH","IDN",340.564108534126
"ETH","IND",340.564122117878
"ETH","MEX",341.938073634836
"ETH","NOR",184.0553529833
"ETH","NPL",340.564108606964
"ETH","RUS",162.475248232973
"ETH","RWA",59.4234134550841
"ETH","R_ASP",340.564007660604
"ETH","R_CSA",341.938072764998
"ETH","R_NEU",162.475260845351
"ETH","R_NMC",137.684664410549
"ETH","R_OEU",184.055354480354
"ETH","R_SSA",59.4226597057451
"ETH","SWE",184.055353812838
"ETH","TUR",162.475243679015
"ETH","USA",401.899757908371
"FIN","ARG",322.633897035566
"FIN","AUS",350.821918257607
"FIN","BRA",322.63389204069
"FIN","CAN",219.581833860214
"FIN","CHN",350.821884104465
"FIN","COL",322.633884742849
"FIN","DEU",63.7968766831618
"FIN","DNK",63.7968869725214
"FIN","ETH",174.579371768956
"FIN","FIN",26.6384348488032
"FIN","GBR",63.7968746779186
"FIN","GRC",63.7968864417128
"FIN","IDN",350.821922002712
"FIN","IND",350.821897478989
"FIN","MEX",322.633896393147
"FIN","NOR",63.7968844599932
"FIN","NPL",350.821921738354
"FIN","RUS",34.5903700031126
"FIN","RWA",174.580168419961
"FIN","R_ASP",350.821854213607
"FIN","R_CSA",322.633896504546
"FIN","R_NEU",42.6819415187834
"FIN","R_NMC",92.1428344892713
"FIN","R_OEU",38.4044568545138
"FIN","R_SSA",175.13319217493
"FIN","SWE",115.496871724314
"FIN","TUR",50.5215322013789
"FIN","USA",219.581828799137
"GBR","ARG",322.63388827953
"GBR","AUS",634.753068657699
"GBR","BRA",322.633883284654
"GBR","CAN",170.769987706591
"GBR","CHN",350.821865734026
"GBR","COL",322.633865318743
"GBR","DEU",158.494524381105
"GBR","DNK",189.581049645199
"GBR","ETH",174.579363686767
"GBR","FIN",39.4706901966043
"GBR","GBR",39.9948792840212
"GBR","GRC",57.843183503021
"GBR","IDN",350.821913891203
"GBR","IND",350.82187201024
"GBR","MEX",322.633886331296
"GBR","NOR",21.5821014498609
"GBR","NPL",350.821912889938
"GBR","RUS",50.5215282735051
"GBR","RWA",174.580151781037
"GBR","R_ASP",409.314630384042
"GBR","R_CSA",322.633885727554
"GBR","R_NEU",38.2766326457376
"GBR","R_NMC",116.593590830182
"GBR","R_OEU",30.2239166046287
"GBR","R_SSA",186.596148219723
"GBR","SWE",24.9491345630028
"GBR","TUR",50.5215160779109
"GBR","USA",207.421503855205
"GRC","ARG",322.633897453863
"GRC","AUS",350.821918405805
"GRC","BRA",322.633892458986
"GRC","CAN",219.581834008413
"GRC","CHN",350.821883127811
"GRC","COL",322.633883577452
"GRC","DEU",38.2209886933546
"GRC","DNK",63.7968871207287
"GRC","ETH",174.579372250898
"GRC","FIN",59.9925369144792
"GRC","GBR",55.9846620801405
"GRC","GRC",15.8584219817656
"GRC","IDN",350.82192248203
"GRC","IND",350.821895148206
"GRC","MEX",322.633896670367
"GRC","NOR",63.7968845509031
