"from_iso3","to_iso3","q_spem"
"R_NMC","RWA",1e-06
"R_NMC","R_ASP",60
"R_NMC","R_CSA",1e-06
"R_NMC","R_NEU",1e-06
"R_NMC","R_NMC",2440
"R_NMC","R_OEU",1e-06
"R_NMC","R_SSA",21
"R_NMC","SWE",1e-06
"R_NMC","TUR",1e-06
"R_NMC","USA",1e-06
"R_OEU","ARG",1e-06
"R_OEU","AUS",1e-06
"R_OEU","BRA",1e-06
"R_OEU","CAN",1e-06
"R_OEU","CHN",7561
"R_OEU","COL",1
"R_OEU","DEU",3082
"R_OEU","DNK",189
"R_OEU","ETH",1e-06
"R_OEU","FIN",14
"R_OEU","GBR",1198
"R_OEU","GRC",352
"R_OEU","IDN",19
"R_OEU","IND",4
"R_OEU","MEX",1e-06
"R_OEU","NOR",63
"R_OEU","NPL",6
"R_OEU","RUS",1e-06
"R_OEU","RWA",5
"R_OEU","R_ASP",2304
"R_OEU","R_CSA",9
"R_OEU","R_NEU",198
"R_OEU","R_NMC",11524
"R_OEU","R_OEU",3529
"R_OEU","R_SSA",104
"R_OEU","SWE",53
"R_OEU","TUR",578
"R_OEU","USA",33
"R_SSA","ARG",1e-06
"R_SSA","AUS",1e-06
"R_SSA","BRA",1e-06
"R_SSA","CAN",1e-06
"R_SSA","CHN",2
"R_SSA","COL",1e-06
"R_SSA","DEU",1e-06
"R_SSA","DNK",1e-06
"R_SSA","ETH",1e-06
"R_SSA","FIN",1e-06
"R_SSA","GBR",1e-06
"R_SSA","GRC",1e-06
"R_SSA","IDN",1e-06
"R_SSA","IND",9
"R_SSA","MEX",1e-06
"R_SSA","NOR",1e-06
"R_SSA","NPL",1e-06
"R_SSA","RUS",1e-06
"R_SSA","RWA",2
"R_SSA","R_ASP",475
"R_SSA","R_CSA",1e-06
"R_SSA","R_NEU",1e-06
"R_SSA","R_NMC",183
"R_SSA","R_OEU",1e-06
"R_SSA","R_SSA",1847
"R_SSA","SWE",1e-06
"R_SSA","TUR",1e-06
"R_SSA","USA",1e-06
"SWE","ARG",1e-06
"SWE","AUS",1e-06
"SWE","BRA",1e-06
"SWE","CAN",1e-06
"SWE","CHN",1e-06
"SWE","COL",1e-06
"SWE","DEU",1e-06
"SWE","DNK",1e-06
"SWE","ETH",1e-06
"SWE","FIN",1e-06
"SWE","GBR",1e-06
"SWE","GRC",1e-06
"SWE","IDN",1e-06
"SWE","IND",1e-06
"SWE","MEX",1e-06
"SWE","NOR",1e-06
"SWE","NPL",1e-06
"SWE","RUS",1e-06
"SWE","RWA",1e-06
"SWE","R_ASP",1e-06
"SWE","R_CSA",1e-06
"SWE","R_NEU",1e-06
"SWE","R_NMC",1e-06
"SWE","R_OEU",5
"SWE","R_SSA",1e-06
"SWE","SWE",141
"SWE","TUR",1e-06
"SWE","USA",1e-06
"TUR","ARG",1e-06
"TUR","AUS",1e-06
"TUR","BRA",1e-06
"TUR","CAN",1e-06
"TUR","CHN",1e-06
"TUR","COL",1e-06
"TUR","DEU",1e-06
"TUR","DNK",1e-06
"TUR","ETH",1e-06
"TUR","FIN",1e-06
"TUR","GBR",1e-06
"TUR","GRC",1e-06
"TUR","IDN",9
"TUR","IND",1e-06
"TUR","MEX",1e-06
"TUR","NOR",1
"TUR","NPL",1e-06
"TUR","RUS",1e-06
"TUR","RWA",1e-06
"TUR","R_ASP",8
"TUR","R_CSA",15
"TUR","R_NEU",1
"TUR","R_NMC",1889
"TUR","R_OEU",31
"TUR","R_SSA",78
"TUR","SWE",1e-06
"TUR","TUR",10558
"TUR","USA",118
"USA","ARG",1
"USA","AUS",1e-06
"USA","BRA",1e-06
"USA","CAN",1376
"USA","CHN",571
"USA","COL",5491
"USA","DEU",1e-06
"USA","DNK",1e-06
"USA","ETH",1
"USA","FIN",1e-06
"USA","GBR",1e-06
"USA","GRC",1e-06
"USA","IDN",26
"USA","IND",1
"USA","MEX",14148
"USA","NOR",1e-06
"USA","NPL",1e-06
"USA","RUS",1e-06
"USA","RWA",1e-06
"USA","R_ASP",13511
"USA","R_CSA",6047
"USA","R_NEU",1e-06
"USA","R_NMC",1648
"USA","R_OEU",1e-06
"USA","R_SSA",40
"USA","SWE",1e-06
"USA","TUR",1e-06
"USA","USA",325122
