"from_iso3","to_iso3","calib"
"COL","IDN",2.90901766675233e-07
"COL","IND",2.18961758946534e-07
"COL","MEX",2.55048790620549e-06
"COL","NOR",5.77130663259595e-07
"COL","NPL",2.79711116490944e-07
"COL","RUS",5.64144215786655e-07
"COL","RWA",6.59947033909702e-07
"COL","R_ASP",2.58856857726641e-07
"COL","R_CSA",5.97906361576861e-06
"COL","R_NEU",5.47488411939412e-07
"COL","R_NMC",4.57695364275423e-07
"COL","R_OEU",8.9383462409387e-07
"COL","R_SSA",6.95201720191108e-07
"COL","SWE",6.48763545996189e-07
"COL","TUR",5.15576687121211e-07
"COL","USA",2.5399049832231e-06
"DEU","ARG",6.58014812415786e-07
"DEU","AUS",4.4747491756425e-07
"DEU","BRA",9.27042151488422e-07
"DEU","CAN",1.40825653716092e-06
"DEU","CHN",8.19706599486381e-07
"DEU","COL",6.40794894479768e-07
"DEU","DEU",0
"DEU","DNK",2.23048715497498e-06
"DEU","ETH",1.39940178200959e-06
"DEU","FIN",9.62900044854109e-06
"DEU","GBR",1.70081941064382e-06
"DEU","GRC",7.41746659826958e-06
"DEU","IDN",5.91848902331549e-07
"DEU","IND",5.1990889460285e-07
"DEU","MEX",9.09794380277162e-07
"DEU","NOR",0.0187474396971652
"DEU","NPL",5.8065819530384e-07
"DEU","RUS",4.70743113822891e-06
"DEU","RWA",1.37542178890726e-06
"DEU","R_ASP",1.04960514590857e-06
"DEU","R_CSA",9.1976960447937e-07
"DEU","R_NEU",0.00160692281826513
"DEU","R_NMC",0.000200928318022875
"DEU","R_OEU",3.68182282659002
"DEU","R_SSA",0
"DEU","SWE",1.4546445470387e-06
"DEU","TUR",5.45727436218613e-06
"DEU","USA",0
"DNK","ARG",6.58014812415786e-07
"DNK","AUS",5.66517428524094e-07
"DNK","BRA",6.58014812415786e-07
"DNK","CAN",1.06071249206252e-06
"DNK","CHN",5.13514237354684e-07
"DNK","COL",6.40794894479768e-07
"DNK","DEU",3.05847254367109e-06
"DNK","DNK",0
"DNK","ETH",1.39940178200959e-06
"DNK","FIN",1.32649540773855e-06
"DNK","GBR",4.28656829143392e-06
"DNK","GRC",4.28656829143392e-06
"DNK","IDN",5.91848902331549e-07
"DNK","IND",5.1990889460285e-07
"DNK","MEX",6.6281080535191e-07
"DNK","NOR",2.67413383880921e-06
"DNK","NPL",5.8065819530384e-07
"DNK","RUS",5.50200502402731e-06
"DNK","RWA",1.37542178890726e-06
"DNK","R_ASP",5.75089870835654e-07
"DNK","R_CSA",6.62137836116017e-07
"DNK","R_NEU",9.27037427800315e-06
"DNK","R_NMC",20.408359024991
"DNK","R_OEU",0.000217053104890397
"DNK","R_SSA",1.26745720763211e-06
"DNK","SWE",3.73814137333284e-06
"DNK","TUR",5.4572743550807e-06
"DNK","USA",1.09582990148738e-06
"ETH","ARG",6.07256311013771e-07
"ETH","AUS",5.96974530253647e-07
"ETH","BRA",6.07256311013771e-07
"ETH","CAN",4.66984090508049e-07
"ETH","CHN",5.96974530253647e-07
"ETH","COL",5.90036393077753e-07
"ETH","DEU",1.32125427398933e-06
"ETH","DNK",1.32125427398933e-06
"ETH","ETH",0.012873781159751
"ETH","FIN",1.32125427398933e-06
"ETH","GBR",1.32125427398933e-06
"ETH","GRC",1.32125427398933e-06
"ETH","IDN",6.16753709437035e-07
"ETH","IND",6.02365730628662e-07
"ETH","MEX",6.12052303949895e-07
"ETH","NOR",1.32125427398933e-06
"ETH","NPL",6.05563059252745e-07
"ETH","RUS",1.55848530880576e-06
"ETH","RWA",4.60168418214835e-06
"ETH","R_ASP",5.87153294873133e-07
"ETH","R_CSA",6.08946322699921e-07
"ETH","R_NEU",1.54202510316281e-06
"ETH","R_NMC",1.86731705298371e-06
"ETH","R_OEU",1.35044786020444e-06
"ETH","R_SSA",4.63564354191703e-06
"ETH","SWE",1.32125427398933e-06
"ETH","TUR",1.50032582268977e-06
"ETH","USA",5.86701617066865e-07
"FIN","ARG",6.58014812415786e-07
"FIN","AUS",5.66517428524094e-07
"FIN","BRA",6.58014812415786e-07
"FIN","CAN",1.06071249206252e-06
"FIN","CHN",5.13514237354684e-07
"FIN","COL",6.40794894479768e-07
"FIN","DEU",4.28656829143392e-06
"FIN","DNK",4.28656829143392e-06
"FIN","ETH",1.39940178200959e-06
"FIN","FIN",0
"FIN","GBR",4.28656829143392e-06
"FIN","GRC",4.81678596742086e-06
"FIN","IDN",5.91848902331549e-07
"FIN","IND",5.1990889460285e-07
"FIN","MEX",6.6281080535191e-07
"FIN","NOR",4.21411239415193e-06
"FIN","NPL",5.8065819530384e-07
"FIN","RUS",5.50200502402731e-06
"FIN","RWA",1.37542178890726e-06
"FIN","R_ASP",5.75089870835654e-07
"FIN","R_CSA",6.62137836116017e-07
"FIN","R_NEU",5.50364689644312e-06
"FIN","R_NMC",20.3262948408873
"FIN","R_OEU",7.51546829036442e-06
"FIN","R_SSA",1.25894848679309e-06
"FIN","SWE",4.28656829143392e-06
"FIN","TUR",5.4572743550807e-06
"FIN","USA",1.09582990148738e-06
"GBR","ARG",6.58014812415786e-07
"GBR","AUS",5.66517428524094e-07
"GBR","BRA",6.58014812415786e-07
"GBR","CAN",1.64710908734378e-06
"GBR","CHN",1.02275657809514e-06
"GBR","COL",6.40794894479768e-07
"GBR","DEU",1.73879234921515e-06
"GBR","DNK",1.44585263228691e-06
"GBR","ETH",1.39940178200959e-06
"GBR","FIN",7.00465813707751e-06
"GBR","GBR",0
"GBR","GRC",4.91434853699957e-06
"GBR","IDN",5.91848902331549e-07
"GBR","IND",5.1990889460285e-07
"GBR","MEX",6.6281080535191e-07
"GBR","NOR",4.21411239415193e-06
"GBR","NPL",5.8065819530384e-07
"GBR","RUS",3.49419191536526e-06
"GBR","RWA",1.37542178890726e-06
"GBR","R_ASP",7.22225081517536e-07
"GBR","R_CSA",6.62137836116017e-07
"GBR","R_NEU",7.27598300187537e-06
"GBR","R_NMC",5.58202024438606
"GBR","R_OEU",0.00188212394067833
"GBR","R_SSA",1.43120712436939e-06
"GBR","SWE",1.14181767116861e-05
"GBR","TUR",5.4572743550807e-06
"GBR","USA",1.24374213328338e-06
"GRC","ARG",6.58014812415786e-07
"GRC","AUS",5.66517428524094e-07
"GRC","BRA",6.58014812415786e-07
"GRC","CAN",1.06071249206252e-06
"GRC","CHN",5.13514237354684e-07
"GRC","COL",6.40794894479768e-07
"GRC","DEU",7.25567353043743e-06
"GRC","DNK",4.28656829143392e-06
"GRC","ETH",1.39940178200959e-06
"GRC","FIN",4.28656829143392e-06
"GRC","GBR",4.28656829143392e-06
"GRC","GRC",0
"GRC","IDN",5.91848902331549e-07
"GRC","IND",5.1990889460285e-07
"GRC","MEX",6.6281080535191e-07
"GRC","NOR",4.21411239415193e-06
"GRC","NPL",5.8065819530384e-07
"GRC","RUS",5.50200502402731e-06
"GRC","RWA",1.37542178890726e-06
"GRC","R_ASP",5.75089700305398e-07
"GRC","R_CSA",6.62137836116017e-07
"GRC","R_NEU",1.00458845899709e-05
"GRC","R_NMC",0.617363797270926
"GRC","R_OEU",0
"GRC","R_SSA",1.41073795134616e-06
"GRC","SWE",4.28656829143392e-06
"GRC","TUR",1.78226565594741e-06
"GRC","USA",1.09582990148738e-06
"IDN","ARG",2.68261715064e-07
"IDN","AUS",1.8753459016807e-06
"IDN","BRA",2.68261715064e-07
"IDN","CAN",3.67324048511364e-07
"IDN","CHN",1.88768927955607e-06
"IDN","COL",2.51041797127982e-07
"IDN","DEU",6.24807057647558e-07
"IDN","DNK",6.24807057647558e-07
"IDN","ETH",6.61608794416679e-07
"IDN","FIN",6.24807057647558e-07
"IDN","GBR",6.24807057647558e-07
"IDN","GRC",6.24807057647558e-07
"IDN","IDN",3.94652054732914
"IDN","IND",2.23927592912787e-06
"IDN","MEX",2.73057708000124e-07
"IDN","NOR",5.62480636290275e-07
"IDN","NPL",1.93245193713665e-06
"IDN","RUS",8.32565604014235e-07
"IDN","RWA",6.3762877289264e-07
"IDN","R_ASP",0.0366280702635748
"IDN","R_CSA",2.69860379376041e-07
"IDN","R_NEU",8.15909857010411e-07
"IDN","R_NMC",9.9520994467639e-07
"IDN","R_OEU",6.26298856332141e-07
"IDN","R_SSA",7.94375864643371e-07
"IDN","SWE",6.24807057647558e-07
"IDN","TUR",7.84637620654394e-07
"IDN","USA",3.67324048511364e-07
"IND","ARG",2.68389612756437e-07
"IND","AUS",8.72628788783913e-07
"IND","BRA",5.40995188202942e-07
"IND","CAN",6.34469870419707e-07
"IND","CHN",0
"IND","COL",2.51041797127982e-07
"IND","DEU",6.21377409970592e-07
"IND","DNK",6.21377409970592e-07
"IND","ETH",6.61608794416679e-07
"IND","FIN",6.21377409970592e-07
"IND","GBR",1.21722601420515e-06
"IND","GRC",6.21377409970592e-07
"IND","IDN",0.00884067398465049
"IND","IND",0.606928614002584
"IND","MEX",2.73057708000124e-07
"IND","NOR",1.27168755170715e-06
"IND","NPL",0
"IND","RUS",2.22587297571408e-06
"IND","RWA",1.63621569981842e-06
"IND","R_ASP",0.331949626283148
"IND","R_CSA",4.88430373479787e-07
"IND","R_NEU",8.15335226889147e-07
"IND","R_NMC",0
"IND","R_OEU",1.52465167957416e-06
"IND","R_SSA",1.2497337138484e-06
"IND","SWE",6.21377409970592e-07
"IND","TUR",2.13865865816842e-06
"IND","USA",5.70760619211796e-07
"MEX","ARG",2.59154194282019e-06
"MEX","AUS",5.56884913294198e-07
"MEX","BRA",2.59213024378369e-06
"MEX","CAN",3.07016276224203e-06
"MEX","CHN",0
"MEX","COL",4.01551011464107e-06
"MEX","DEU",8.49991295126529e-07
"MEX","DNK",8.3583915966301e-07
"MEX","ETH",6.83927055433742e-07
"MEX","FIN",6.13641248037311e-07
"MEX","GBR",9.51289564454783e-07
"MEX","GRC",6.13641248037311e-07
"MEX","IDN",2.90901766675233e-07
"MEX","IND",2.18961758946534e-07
"MEX","MEX",0
"MEX","NOR",5.51198297671363e-07
"MEX","NPL",2.79711116490944e-07
"MEX","RUS",5.64144215786655e-07
"MEX","RWA",6.59947033909702e-07
"MEX","R_ASP",6.02154898388108e-07
"MEX","R_CSA",1.84893851795447
"MEX","R_NEU",8.27584983653651e-07
"MEX","R_NMC",6.32086312180036e-07
"MEX","R_OEU",8.15132523257489e-07
"MEX","R_SSA",0
"MEX","SWE",6.13641248037311e-07
"MEX","TUR",5.15576687121211e-07
"MEX","USA",0
"NOR","ARG",6.58014812415786e-07
"NOR","AUS",5.66517428524094e-07
"NOR","BRA",6.58014812415786e-07
"NOR","CAN",1.06071249206252e-06
"NOR","CHN",5.13514237354684e-07
"NOR","COL",6.40794894479768e-07
"NOR","DEU",4.28099041727137e-06
"NOR","DNK",2.73076150847373e-06
"NOR","ETH",1.39940178200959e-06
"NOR","FIN",1.53166368477287e-06
"NOR","GBR",4.28099041727137e-06
"NOR","GRC",4.28099041727137e-06
"NOR","IDN",5.91848902331549e-07
"NOR","IND",5.1990889460285e-07
"NOR","MEX",6.6281080535191e-07
"NOR","NOR",0.211537209505686
"NOR","NPL",5.8065819530384e-07
"NOR","RUS",5.50200502402731e-06
"NOR","RWA",1.37542178890726e-06
"NOR","R_ASP",5.56772931759042e-07
"NOR","R_CSA",6.59653096590773e-07
"NOR","R_NEU",5.49084725065541e-06
"NOR","R_NMC",18.9264950801003
"NOR","R_OEU",4.28332931079467e-06
"NOR","R_SSA",1.41067647518867e-06
"NOR","SWE",3.11151771370533e-06
"NOR","TUR",5.4572743550807e-06
"NOR","USA",1.09582990148738e-06
"NPL","ARG",2.68261715064e-07
"NPL","AUS",1.90943924849307e-06
"NPL","BRA",2.68261715064e-07
"NPL","CAN",3.67324048511364e-07
"NPL","CHN",1.90943924849307e-06
"NPL","COL",2.51041797127982e-07
"NPL","DEU",6.38239100680948e-07
"NPL","DNK",6.38239100680948e-07
"NPL","ETH",6.61608794416679e-07
"NPL","FIN",6.38239100680948e-07
"NPL","GBR",1.19647850738147e-06
