ARG,817.6401044358969
AUS,1297.5541802365967
BRA,883.6289157586452
CAN,1194.4606679574333
CHN,882.5268806517778
COL,798.2814640296964
DEU,978.7708983116402
DNK,995.1387113876721
ETH,1020.8370026168577
FIN,874.6221029276
GBR,968.6025061813143
GRC,958.3580878498016
IDN,809.1375052877303
IND,1237.5356517576786
MEX,859.429788504509
NOR,885.5252351663192
NPL,1301.6465463265909
RUS,908.4622005035408
RWA,845.1695706912927
R_ASP,856.6476683592621
R_CSA,1180.7972553370707
R_NEU,862.4249557419947
R_NMC,955.7144863624536
R_OEU,1020.8932057767197
R_SSA,1128.90299187873
SWE,948.409992184343
TUR,1021.359698615738
USA,1136.3212402862348
