ARG,818.1501643430028
AUS,909.5701884009194
BRA,838.8743008599206
CAN,894.2487531137265
CHN,870.6681953344187
COL,716.7576804022418
DEU,839.6608047527134
DNK,855.871023804841
ETH,956.3411332863145
FIN,833.1867262363274
GBR,925.3454954059188
GRC,865.7245470589663
IDN,678.4517891355846
IND,1065.2269410603312
MEX,741.4716507150051
NOR,832.4847833024279
NPL,908.3559565707305
RUS,872.1921644272091
RWA,836.1616838307655
R_ASP,647.2794783635245
R_CSA,661.165605163301
R_NEU,830.4848072367661
R_NMC,880.7607375315165
R_OEU,807.6416407599975
R_SSA,909.0977896617222
SWE,859.5093283522373
TUR,859.1434831513466
USA,1035.784189117642
