ARG,ARG,0.00016077382532841966
ARG,AUS,7.2299621933780145e-06
ARG,BRA,0.0
ARG,CAN,1.7948956440250186e-05
ARG,CHN,6.450401770052849e-06
ARG,COL,0.0008547156101883502
ARG,DEU,1.335179223360683e-05
ARG,DNK,1.4405086858459981e-05
ARG,ETH,0.0
ARG,FIN,1.4405086858459981e-05
ARG,GBR,1.490614329213713e-05
ARG,GRC,1.4405086858459981e-05
ARG,IDN,0.0
ARG,IND,6.205282147675462e-06
ARG,MEX,2.4205045292546856e-05
ARG,NOR,1.4049636831714452e-05
ARG,NPL,6.627209245380072e-06
ARG,RUS,1.2501100854933611e-05
ARG,RWA,1.511999124659269e-05
ARG,R_ASP,0.0
ARG,R_CSA,3.686427001836165
ARG,R_NEU,1.3582382052845787e-05
ARG,R_NMC,0.0
ARG,R_OEU,1.3631580429773749e-05
ARG,R_SSA,0.5603912919445122
ARG,SWE,1.4405086858459981e-05
ARG,TUR,1.1970266086791526e-05
ARG,USA,0.0
AUS,ARG,1.317977279313709e-05
AUS,AUS,0.2427468131968631
AUS,BRA,1.0984165669469803e-05
AUS,CAN,9.596053018867678e-06
AUS,CHN,0.0
AUS,COL,1.0116756584466202e-05
AUS,DEU,1.4303322018349718e-05
AUS,DNK,1.4303322018349718e-05
AUS,ETH,1.4534241529418068e-05
AUS,FIN,9.871600468613906e-06
AUS,GBR,8.88790532371786e-06
AUS,GRC,1.4303322018349718e-05
AUS,IDN,8.647160741272785
AUS,IND,1.8344915815760032e-05
AUS,MEX,6.468230594691704e-06
AUS,NOR,1.3722439803132147e-05
AUS,NPL,4.0208785378581524e-05
AUS,RUS,1.7941023088496877e-05
AUS,RWA,1.4666512299754686e-05
AUS,R_ASP,53.92973509175707
AUS,R_CSA,1.0693805506889476e-05
AUS,R_NEU,1.7722663073982403e-05
AUS,R_NMC,0.0
AUS,R_OEU,9.993010735342978e-06
AUS,R_SSA,0.0
AUS,SWE,1.4303322018349718e-05
AUS,TUR,1.0538422088757216e-05
AUS,USA,1.1360164421603258e-05
BRA,ARG,0.00010869977522531826
BRA,AUS,1.1261344752711011e-05
BRA,BRA,27.461155920998948
BRA,CAN,2.0568600405113102e-05
BRA,CHN,8.684639851708198e-06
BRA,COL,4.812229485651187e-05
BRA,DEU,1.8274378305704886e-05
BRA,DNK,1.4514091958517383e-05
BRA,ETH,1.4987720476256072e-05
BRA,FIN,1.4514091958517383e-05
BRA,GBR,1.4514091958517383e-05
BRA,GRC,1.75592093683008e-05
BRA,IDN,0.0
BRA,IND,6.205282147675462e-06
BRA,MEX,2.199328412189061e-05
BRA,NOR,1.5705177588642982e-05
BRA,NPL,6.627209245380072e-06
BRA,RUS,1.2502863683039322e-05
BRA,RWA,1.511999124659269e-05
BRA,R_ASP,0.0
BRA,R_CSA,0.000676649143827035
BRA,R_NEU,1.6951447605606518e-05
BRA,R_NMC,0.0
BRA,R_OEU,1.8452323104156676e-05
BRA,R_SSA,5.0307174603858584e-05
BRA,SWE,1.4514091958517383e-05
BRA,TUR,1.665102195147483e-05
BRA,USA,2.3665748756229732e-05
CAN,ARG,3.439833295715289e-05
CAN,AUS,9.74549948296044e-06
CAN,BRA,0.0
CAN,CAN,8.970265775389894
CAN,CHN,0.0
CAN,COL,1.73924642947145
CAN,DEU,0.0
CAN,DNK,3.071768452400647e-05
CAN,ETH,0.0
CAN,FIN,2.9020390030609633e-05
CAN,GBR,0.28542071131110447
CAN,GRC,2.1726493059759378e-05
CAN,IDN,0.0
CAN,IND,1.0342682571717887e-05
CAN,MEX,4.057362012573506
CAN,NOR,3.2386221562319406e-05
CAN,NPL,1.320176733088374e-05
CAN,RUS,1.786175050710881e-05
CAN,RWA,1.0556013194218394e-05
CAN,R_ASP,0.0
CAN,R_CSA,17.40617161507018
CAN,R_NEU,0.0
CAN,R_NMC,0.0
CAN,R_OEU,0.0
CAN,R_SSA,0.0
CAN,SWE,3.051805961717946e-05
CAN,TUR,0.0
CAN,USA,0.0
CHN,ARG,7.2628140515007544e-06
CHN,AUS,2.2245791171826568e-05
CHN,BRA,8.542200134797895e-06
CHN,CAN,1.6181623038846737e-05
CHN,CHN,6.84857814601796
CHN,COL,9.810977758206718e-06
CHN,DEU,2.2597684420588848e-05
CHN,DNK,2.3563491993172647e-05
CHN,ETH,2.0660811685502267e-05
CHN,FIN,2.815585375515184e-05
CHN,GBR,2.090777377361519e-05
CHN,GRC,2.2567913021021013e-05
CHN,IDN,4.6166025228444596e-05
CHN,IND,5.3649131103838954e-05
CHN,MEX,1.319580303515977e-05
CHN,NOR,2.518503916348891e-05
CHN,NPL,7.302382147145181e-05
CHN,RUS,3.799830105322144e-05
CHN,RWA,1.6925743921092362e-05
CHN,R_ASP,0.0
CHN,R_CSA,1.024392031467869e-05
CHN,R_NEU,2.3629323152363213e-05
CHN,R_NMC,3.12250087688426e-05
CHN,R_OEU,2.38835138191007e-05
CHN,R_SSA,1.539233358016645e-05
CHN,SWE,2.573100067593259e-05
CHN,TUR,2.5974861188160503e-05
CHN,USA,1.5682905370795197e-05
COL,ARG,5.3311987670667804e-05
COL,AUS,1.0542270842961443e-05
COL,BRA,5.027819720737625e-05
COL,CAN,4.274248396995972e-05
COL,CHN,6.450401770052849e-06
COL,COL,1.1645753654655593
COL,DEU,1.496597803907207e-05
COL,DNK,1.496597803907207e-05
COL,ETH,1.4987720476256072e-05
COL,FIN,1.496597803907207e-05
COL,GBR,2.1612344369259517e-05
COL,GRC,1.496597803907207e-05
COL,IDN,6.877016858197749e-06
