ARG,439.54985894760176
AUS,492.3321587204052
BRA,461.50988165303966
CAN,379.8745259587027
CHN,741.4528567299151
COL,486.5464248295429
DEU,483.25892236220886
DNK,469.32719495514624
ETH,616.0039316589081
FIN,478.87186475865826
GBR,546.3428053807519
GRC,484.16939619490694
IDN,809.0336378143548
IND,826.3106162650437
MEX,473.0501857779317
NOR,493.20036848860485
NPL,773.5491651423159
RUS,461.13704427230357
RWA,666.6602231309045
R_ASP,841.833923929956
R_CSA,584.1964036674996
R_NEU,526.243220552975
R_NMC,639.4218237492414
R_OEU,499.2879816210969
R_SSA,745.6977321126175
SWE,495.8865483697796
TUR,584.6920057669976
USA,379.44822372319766
