ARG,351.94134036057767
AUS,472.97494786959396
BRA,413.972480561457
CAN,343.6920832695119
CHN,718.1930851277252
COL,431.7573702658936
DEU,445.39939700518653
DNK,456.33952630828503
ETH,578.6294960090534
FIN,452.846558905632
GBR,489.47663861744275
GRC,464.39272698262926
IDN,661.943429342181
IND,668.9789481387846
MEX,356.96099396686947
NOR,452.55835026296006
NPL,746.3665400741894
RUS,437.07289330988255
RWA,660.411769259574
R_ASP,651.6606218382966
R_CSA,538.3068666507564
R_NEU,455.9546152666674
R_NMC,552.1512363716377
R_OEU,457.55680758463654
R_SSA,453.6339851917529
SWE,456.474075182353
TUR,480.6471619035566
USA,336.96444778919715
