ARG,404.8728332588136
AUS,567.9673343307584
BRA,426.52400752863304
CAN,481.1905028703259
CHN,917.432865239605
COL,532.2914936233732
DEU,515.6796209405887
DNK,408.9440274219864
ETH,588.4138208896665
FIN,424.97236811544724
GBR,520.0930231319517
GRC,470.76387635306213
IDN,823.9670254755016
IND,837.2151424794282
MEX,526.1764266687661
NOR,550.3367474467894
NPL,774.7244944105157
RUS,542.5580027985022
RWA,610.1991795523786
R_ASP,981.8487272534109
R_CSA,560.2041145778284
R_NEU,501.7077763237791
R_NMC,711.7000764181518
R_OEU,648.7427919032797
R_SSA,600.4964691489921
SWE,449.9558287193474
TUR,534.2107820904962
USA,474.22058694664685
