ARG,318.87529286258837
AUS,675.6783797340336
BRA,367.7974505388079
CAN,415.9620315827892
CHN,868.0828037864247
COL,442.7221210903295
DEU,464.2090293202547
DNK,481.2333377303972
ETH,557.5015652662255
FIN,483.85328884322485
GBR,473.6409592967656
GRC,453.962730074176
IDN,658.848277312688
IND,676.2406242800469
MEX,400.1166669058402
NOR,480.28572058142043
NPL,746.4312021213519
RUS,497.2409995934386
RWA,672.5665970154164
R_ASP,630.1854822974452
R_CSA,384.69666571482423
R_NEU,474.5324673452445
R_NMC,506.7255361233162
R_OEU,446.497793275044
R_SSA,442.8045888084945
SWE,481.23332285517927
TUR,460.46411903901515
USA,422.7303804947221
