"FABLE_Exporter","FABLE_Importer","Year","FABLE_Item","adv_ij_agg","sdt_ij_agg","Regional_lv"
"CAN","AUS",2000,"Coffee",0.154036460381677,868.861882636017,"R_WRL"
"CHN","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"COL","AUS",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"DEU","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"DNK","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"ETH","AUS",2000,"Coffee",0.152288429050812,235.384369663322,"R_SSA"
"FIN","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"GBR","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"GRC","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"IDN","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"IND","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"IRL","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"MEX","AUS",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"NOR","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"NPL","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"RUS","AUS",2000,"Coffee",0.154879814919143,328.658840843006,"R_NEU"
"RWA","AUS",2000,"Coffee",0.152288429050812,235.384369663322,"R_SSA"
"SWE","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"TUR","AUS",2000,"Coffee",0.154879814919143,328.658840843006,"R_NEU"
"USA","AUS",2000,"Coffee",0.154036460381677,868.861882636017,"R_WRL"
"R_NMC","R_OEU",2000,"Coffee",0.0617729288492064,109.75699827519,"R_NMC"
"R_SSA","R_OEU",2000,"Coffee",0.0399558450752334,42.1529273745512,"R_SSA"
"R_NEU","R_OEU",2000,"Coffee",0.0554023503268707,97.9358480270666,"R_NEU"
"ARG","R_OEU",2000,"Coffee",0.0720806326206349,125.357382213953,"R_CSA"
"AUS","R_OEU",2000,"Coffee",0.0867532433047619,110.629993512501,"R_ASP"
"R_ASP","R_OEU",2000,"Coffee",0.0613633326434855,72.4115431970784,"R_ASP"
"R_CSA","R_OEU",2000,"Coffee",0.0449621362911616,123.443317542518,"R_CSA"
"BRA","R_OEU",2000,"Coffee",0.0984752535190476,86.8972615297515,"R_CSA"
"CAN","R_OEU",2000,"Coffee",0.0867532433047619,110.629993512501,"R_WRL"
"CHN","R_OEU",2000,"Coffee",0.0649620572396826,137.020421750065,"R_ASP"
"COL","R_OEU",2000,"Coffee",0.0344070283253969,140.714603552381,"R_CSA"
"DEU","R_OEU",2000,"Coffee",0.00740021379365078,52.5170634854402,"R_OEU"
"DNK","R_OEU",2000,"Coffee",0.00740021379365078,52.5170634854402,"R_OEU"
"ETH","R_OEU",2000,"Coffee",0.0217471488642857,61.9948767186556,"R_SSA"
"FIN","R_OEU",2000,"Coffee",0.00740021379365078,52.5170634854402,"R_OEU"
"GBR","R_OEU",2000,"Coffee",0.00740021379365078,52.5170634854402,"R_OEU"
"GRC","R_OEU",2000,"Coffee",0.00740021379365078,52.5170634854402,"R_OEU"
"IDN","R_OEU",2000,"Coffee",0.0646761183825397,106.190162625167,"R_ASP"
"IND","R_OEU",2000,"Coffee",0.0622405767039683,129.100109773878,"R_ASP"
"IRL","R_OEU",2000,"Coffee",0.00740021379365078,52.5170634854402,"R_OEU"
"MEX","R_OEU",2000,"Coffee",0.0378948899031745,28.4154748174524,"R_CSA"
"NOR","R_OEU",2000,"Coffee",0.0296273300222223,85.2921679933845,"R_OEU"
"NPL","R_OEU",2000,"Coffee",0.0449728284753968,121.441112891682,"R_ASP"
"RUS","R_OEU",2000,"Coffee",0.0653934364174603,122.391320038805,"R_NEU"
"RWA","R_OEU",2000,"Coffee",0.0438526761198412,60.6161849219084,"R_SSA"
"SWE","R_OEU",2000,"Coffee",0.00740021379365078,52.5170634854402,"R_OEU"
"TUR","R_OEU",2000,"Coffee",0.0385406410492064,125.301375262508,"R_NEU"
"USA","R_OEU",2000,"Coffee",0.0867532433047619,546.423693296514,"R_WRL"
"R_NMC","R_SSA",2000,"Coffee",0.210588821275157,273.646532793967,"R_NMC"
"R_NEU","R_SSA",2000,"Coffee",0.215332383420801,225.855296439242,"R_NEU"
"ARG","R_SSA",2000,"Coffee",0.214730345026923,248.559128115129,"R_CSA"
"AUS","R_SSA",2000,"Coffee",0.214713641094506,248.522436320528,"R_ASP"
"R_OEU","R_SSA",2000,"Coffee",0.214783078815934,233.242999363435,"R_OEU"
"R_ASP","R_SSA",2000,"Coffee",0.215260629177564,176.607861529852,"R_ASP"
"R_CSA","R_SSA",2000,"Coffee",0.214816529346479,277.024827011662,"R_CSA"
"BRA","R_SSA",2000,"Coffee",0.214761963332418,142.246736123547,"R_CSA"
"CAN","R_SSA",2000,"Coffee",0.214713641094506,248.522436320528,"R_WRL"
"CHN","R_SSA",2000,"Coffee",0.214761963332418,248.628580765071,"R_ASP"
"COL","R_SSA",2000,"Coffee",0.214761963332418,283.358357166457,"R_CSA"
"DEU","R_SSA",2000,"Coffee",0.214703162464835,248.499419002333,"R_OEU"
"DNK","R_SSA",2000,"Coffee",0.214703162464835,248.499419002333,"R_OEU"
"ETH","R_SSA",2000,"Coffee",0.198954145795055,161.138715161782,"R_SSA"
"FIN","R_SSA",2000,"Coffee",0.214703162464835,248.499419002333,"R_OEU"
"GBR","R_SSA",2000,"Coffee",0.214703162464835,248.499419002333,"R_OEU"
"GRC","R_SSA",2000,"Coffee",0.214703162464835,248.499419002333,"R_OEU"
"IDN","R_SSA",2000,"Coffee",0.214761963332418,192.864460460107,"R_ASP"
"IND","R_SSA",2000,"Coffee",0.214762287611539,248.629293075358,"R_ASP"
