FABLE_Exporter,FABLE_Importer,dist_adj,Year,FABLE_Item,Q_ij,net_trade_ij,is_court,base_cost,beta,ln_dist,ln_quantity_kt,cost_per_tonne_km,transport_cost_usd_t,Regional_lv_i,Regional_lv_j
R_NMC,R_NMC,2400.620322091837,2020,Wheat,5403.785714285715,0,FALSE,0.003,0.26,7.783482450477322,8.594855045126916,0.020829477591568776,50.003667204876535,R_NMC,R_NMC
R_NMC,R_NMC,2400.620322091837,2020,Rice,871.8571428571429,0,FALSE,0.003,0.26,7.783482450477322,6.770625583489181,0.02121294206031449,50.92421980134765,R_NMC,R_NMC
R_NMC,R_NMC,2400.620322091837,2020,Corn,2149.3571428571427,0,FALSE,0.003,0.26,7.783482450477322,7.672924073089043,0.02102239893113507,50.46679809320456,R_NMC,R_NMC
R_NMC,R_NMC,2400.620322091837,2020,Soyabean,430.7142857142857,0,FALSE,0.003,0.26,7.783482450477322,6.065444960105973,0.021363060297645148,51.284596692600225,R_NMC,R_NMC
R_NMC,R_NMC,2400.620322091837,2020,Palm Oil,217.67857142857142,0,FALSE,0.003,0.26,7.783482450477322,5.383019531740168,0.021509345830515787,51.635772715637515,R_NMC,R_NMC
R_NMC,R_NMC,2400.620322091837,2020,Coffee,41.75,0,FALSE,0.003,0.26,7.783482450477322,3.7316994512968646,0.021867482833305744,52.49552368262815,R_NMC,R_NMC
R_NMC,R_NMC,2400.620322091837,2020,Cocoa,17.428571428571427,0,FALSE,0.003,0.26,7.783482450477322,2.8581108956779433,0.022059351511934156,52.956127531716426,R_NMC,R_NMC
R_NMC,R_NMC,2400.620322091837,2020,Palm_oil,0,0,FALSE,0.003,0.26,7.783482450477322,-Inf,Inf,51.39524367457301,R_NMC,R_NMC
R_NMC,R_SSA,5803.687762406015,2020,Cocoa,15.44175225,-27.72326425,FALSE,0.003,0.26,8.666248815590398,2.7370750258516896,0.0277841643434385,161.25061458869158,R_NMC,R_SSA
R_NMC,R_SSA,5803.687762406015,2020,Coffee,1.8011046,-59.7620524,FALSE,0.003,0.26,8.666248815590398,0.5884001433523942,0.02838761559005925,164.75285720391307,R_NMC,R_SSA
R_NMC,R_SSA,5803.687762406015,2020,Corn,32.844467,-157.4843152,FALSE,0.003,0.26,8.666248815590398,3.491783298476428,0.027575264241386132,160.0382236228449,R_NMC,R_SSA
R_NMC,R_SSA,5803.687762406015,2020,Palm_oil,62.9979132,62.9030918,FALSE,0.003,0.26,8.666248815590398,4.143101602033403,0.02739624512312514,158.99925255695686,R_NMC,R_SSA
R_NMC,R_SSA,5803.687762406015,2020,Rice,2146.6713035,2146.3624677,FALSE,0.003,0.26,8.666248815590398,7.671673690443485,0.02644640530610643,153.4866788346794,R_NMC,R_SSA
R_NMC,R_SSA,5803.687762406015,2020,Soyabean,0.0640036,-0.1245284,FALSE,0.003,0.26,8.666248815590398,-2.748815947204437,0.02935095664712922,170.34378790785334,R_NMC,R_SSA
R_NMC,R_SSA,5803.687762406015,2020,Wheat,421.249176,420.9124543,FALSE,0.003,0.26,8.666248815590398,6.043224525581572,0.026880597275151265,156.00659345195987,R_NMC,R_SSA
R_NMC,R_SSA,5803.687762406015,2020,Palm Oil,0,0,FALSE,0.003,0.26,8.666248815590398,-Inf,Inf,125.32000023488298,R_NMC,R_SSA
R_NMC,R_NEU,3379.46037244898,2020,Cocoa,0.0809741,-11.3481798,FALSE,0.003,0.26,8.125471322609545,-2.5136259285280365,0.02544123013921758,85.97762908184046,R_NMC,R_NEU
R_NMC,R_NEU,3379.46037244898,2020,Coffee,0.1577255,-3.3934778,FALSE,0.003,0.26,8.125471322609545,-1.8468990986557918,0.02527217084014066,85.406299880016,R_NMC,R_NEU
R_NMC,R_NEU,3379.46037244898,2020,Corn,0,-1973.7993328,FALSE,0.003,0.26,8.125471322609545,-Inf,Inf,68.77468483701459,R_NMC,R_NEU
R_NMC,R_NEU,3379.46037244898,2020,Rice,22.6729169,22.0926012,FALSE,0.003,0.26,8.125471322609545,3.121171124085405,0.024047309550833052,81.26692969105417,R_NMC,R_NEU
R_NMC,R_NEU,3379.46037244898,2020,Soyabean,0,-478.87118,FALSE,0.003,0.26,8.125471322609545,-Inf,Inf,68.77468483701459,R_NMC,R_NEU
R_NMC,R_NEU,3379.46037244898,2020,Wheat,2.4563227,-392.2483679,FALSE,0.003,0.26,8.125471322609545,0.8986653941617997,0.024587745750580987,83.09331241193924,R_NMC,R_NEU
R_NMC,R_NEU,3379.46037244898,2020,Palm_oil,0,0,FALSE,0.003,0.26,8.125471322609545,-Inf,Inf,68.77468483701459,R_NMC,R_NEU
R_NMC,R_NEU,3379.46037244898,2020,Palm Oil,0,0,FALSE,0.003,0.26,8.125471322609545,-Inf,Inf,68.77468483701459,R_NMC,R_NEU
R_NMC,ARG,13280.752214285714,2020,Cocoa,0,-0.6293107,FALSE,0.003,0.26,9.494071064068288,-Inf,Inf,427.45945214648845,R_NMC,R_CSA
R_NMC,ARG,13280.752214285714,2020,Corn,0,-10081.374175,FALSE,0.003,0.26,9.494071064068288,-Inf,Inf,427.45945214648845,R_NMC,R_CSA
R_NMC,ARG,13280.752214285714,2020,Rice,0.0836826,-2.2870096,FALSE,0.003,0.26,9.494071064068288,-2.480724208402512,0.036302187726771046,482.12036003573024,R_NMC,R_CSA
R_NMC,ARG,13280.752214285714,2020,Soyabean,0,-648.862903,FALSE,0.003,0.26,9.494071064068288,-Inf,Inf,427.45945214648845,R_NMC,R_CSA
