"FABLE_Exporter","FABLE_Item","Year","prodprice_i_agg","raw_roll","prodprice_i_agg_lisse","Regional_lv","regional_mean","world_mean","prodprice_i_agg_imp","is_imputed_roll","local_median_roll","rel_deviation_roll","Is_Second_Outlier","prodprice_i_agg_imp_final"
"R_NEU","Corn",2000,127.7,136.733333333333,136.733333333333,"R_NEU",130.533333333333,136.733333333333,136.733333333333,TRUE,210.7,0.351052048726467,FALSE,136.733333333333
"R_NEU","Soyabean",2000,207.3,226.8,226.8,"R_NEU",231.366666666667,241.846666666667,226.8,TRUE,403.183333333333,0.437476747550742,FALSE,226.8
"R_NEU","Wheat",2000,129.1,131.566666666667,131.566666666667,"R_NEU",118.577777777778,146.83630952381,131.566666666667,TRUE,194.25,0.322694122694123,FALSE,131.566666666667
"R_NMC","Wheat",2000,181.3,200.516666666667,200.516666666667,"R_NMC",200.516666666667,146.83630952381,200.516666666667,TRUE,328.116666666667,0.388886066947732,FALSE,200.516666666667
"ARG","Corn",2000,82,85,85,"R_CSA",151.64,136.733333333333,85,TRUE,111.516666666667,0.237782095351965,FALSE,85
"ARG","Rice",2000,116.1,117.766666666667,117.766666666667,"R_CSA",170.986666666667,214.644736842105,117.766666666667,TRUE,173.8,0.322401227464518,FALSE,117.766666666667
"ARG","Soyabean",2000,180.1,172.1,172.1,"R_CSA",212.16,241.846666666667,172.1,TRUE,228.033333333333,0.245285776933197,FALSE,172.1
"ARG","Wheat",2000,108.1,113.1,113.1,"R_CSA",150.84,146.83630952381,113.1,TRUE,142.016666666667,0.203614599225443,FALSE,113.1
"AUS","Corn",2000,88.7,100.466666666667,100.466666666667,"R_ASP",144.055555555556,136.733333333333,100.466666666667,TRUE,207.633333333333,0.516134210948788,FALSE,100.466666666667
"AUS","Rice",2000,154.8,145.333333333333,145.333333333333,"R_ASP",147.258333333333,214.644736842105,145.333333333333,TRUE,336.116276400367,0.567609950670111,FALSE,145.333333333333
"AUS","Soyabean",2000,199.4,219.2,219.2,"R_ASP",276.666666666667,241.846666666667,219.2,TRUE,307.35,0.286806572311697,FALSE,219.2
"AUS","Wheat",2000,113.1,117.9,117.9,"R_ASP",134.193333333333,146.83630952381,117.9,TRUE,232.666666666667,0.493266475644699,FALSE,117.9
"R_OEU","Corn",2000,100.45,102.283333333333,102.283333333333,"R_OEU",122.05,136.733333333333,102.283333333333,TRUE,177.441666666667,0.423566430282252,FALSE,102.283333333333
"R_OEU","Soyabean",2000,190.95,192.8,192.8,"R_OEU",192.8,241.846666666667,192.8,TRUE,408.916666666667,0.52851029142042,FALSE,192.8
"R_OEU","Wheat",2000,101.8,105.633333333333,105.633333333333,"R_OEU",134.237037037037,146.83630952381,105.633333333333,TRUE,192.675,0.451753816876433,FALSE,105.633333333333
"R_NMC","Corn",2000,164.4,168.983333333333,168.983333333333,"R_NMC",168.983333333333,136.733333333333,168.983333333333,TRUE,296.097520711501,0.429298384777831,FALSE,168.983333333333
"R_NMC","Rice",2000,319.3,317.35,317.35,"R_NMC",317.35,214.644736842105,317.35,TRUE,443.180495610133,0.283926068174323,FALSE,317.35
"R_ASP","Rice",2000,161,161.116666666667,161.116666666667,"R_ASP",147.258333333333,214.644736842105,161.116666666667,TRUE,328.983333333333,0.510258878362632,FALSE,161.116666666667
"R_ASP","Wheat",2000,154.6,151.033333333333,151.033333333333,"R_ASP",134.193333333333,146.83630952381,151.033333333333,TRUE,289.15,0.477664418698484,FALSE,151.033333333333
"R_CSA","Corn",2000,212,215.1,215.1,"R_CSA",151.64,136.733333333333,215.1,TRUE,367.45,0.414614233229011,FALSE,215.1
"R_CSA","Rice",2000,211.7,215.066666666667,215.066666666667,"R_CSA",170.986666666667,214.644736842105,215.066666666667,TRUE,354.891904761905,0.393993878753155,FALSE,215.066666666667
"R_ASP","Corn",2000,170.35,172.9,172.9,"R_ASP",144.055555555556,136.733333333333,172.9,TRUE,271.616666666667,0.363441124133276,FALSE,172.9
"R_ASP","Soyabean",2000,310,327.8,327.8,"R_ASP",276.666666666667,241.846666666667,327.8,TRUE,568.533333333333,0.4234287054409,FALSE,327.8
"R_CSA","Cocoa",2000,640,761.583333333333,761.583333333333,"R_CSA",946.229166666667,801.676190476191,761.583333333333,TRUE,2002.52072874012,0.619687665449295,FALSE,761.583333333333
"R_CSA","Coffee",2000,1410.4,1329.63333333333,1329.63333333333,"R_CSA",888.633333333333,1312.1303030303,1329.63333333333,TRUE,2296.18333333333,0.420937642900175,FALSE,1329.63333333333
"R_CSA","Soyabean",2000,190,214.866666666667,214.866666666667,"R_CSA",212.16,241.846666666667,214.866666666667,TRUE,483.566666666667,0.555662783483835,FALSE,214.866666666667
"R_CSA","Wheat",2000,185.45,184.566666666667,184.566666666667,"R_CSA",150.84,146.83630952381,184.566666666667,TRUE,271.563074832776,0.320354334696203,FALSE,184.566666666667
"R_SSA","Corn",2000,128.3,144.766666666667,144.766666666667,"R_SSA",152.977777777778,136.733333333333,144.766666666667,TRUE,274.046618659987,0.471744379206225,FALSE,144.766666666667
"BRA","Cocoa",2000,757.6,907.1,907.1,"R_CSA",946.229166666667,801.676190476191,907.1,TRUE,1398.7901303872,0.351511009196996,FALSE,907.1
"BRA","Coffee",2000,676.7,594.733333333333,594.733333333333,"R_CSA",888.633333333333,1312.1303030303,594.733333333333,TRUE,1853.9654457678,0.67921013053885,FALSE,594.733333333333
"BRA","Corn",2000,110.4,91.1666666666667,91.1666666666667,"R_CSA",151.64,136.733333333333,91.1666666666667,TRUE,167.75,0.456532538499752,FALSE,91.1666666666667
